HSCode,Commodity,Value,Date
33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",130.06,12/1/2012
34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",42.1,12/1/2012
35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,33.28,12/1/2012
36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,8.34,12/1/2012
37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,1.79,12/1/2012
38,MISCELLANEOUS CHEMICAL PRODUCTS.,280.72,12/1/2012
39,PLASTIC AND ARTICLES THEREOF.,446.72,12/1/2012
40,RUBBER AND ARTICLES THEREOF.,227.91,12/1/2012
41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,96.92,12/1/2012
42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",183.24,12/1/2012
43,"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",0.03,12/1/2012
44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,19.43,12/1/2012
45,CORK AND ARTICLES OF CORK.,0.22,12/1/2012
46,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",0.19,12/1/2012
47,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCRAP OF PAPER OR PAPERBOARD.,0.01,12/1/2012
48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",68.91,12/1/2012
49,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.",22.41,12/1/2012
50,SILK,12.84,12/1/2012
51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",16.16,12/1/2012
52,COTTON.,"1,076.91",12/1/2012
