HSCode,Commodity,Value,Date
56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",6.44,1/1/2007
57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,3.97,1/1/2007
58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,5.64,1/1/2007
59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",32.36,1/1/2007
60,KNITTED OR CROCHETED FABRICS.,5.94,1/1/2007
61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",2.44,1/1/2007
62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",3.46,1/1/2007
63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,6.6,1/1/2007
64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",10.34,1/1/2007
65,HEADGEAR AND PARTS THEREOF.,0.31,1/1/2007
66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",0.48,1/1/2007
67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,0.41,1/1/2007
68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",15.61,1/1/2007
69,CERAMIC PRODUCTS.,30.97,1/1/2007
70,GLASS AND GLASSWARE.,26.2,1/1/2007
71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.","1,804.02",1/1/2007
72,IRON AND STEEL,537.21,1/1/2007
73,ARTICLES OF IRON OR STEEL,226.22,1/1/2007
74,COPPER AND ARTICLES THEREOF.,83.44,1/1/2007
75,NICKEL AND ARTICLES THEREOF.,67.71,1/1/2007
76,ALUMINIUM AND ARTICLES THEREOF.,103.75,1/1/2007
78,LEAD AND ARTICLES THEREOF.,20.53,1/1/2007
79,ZINC AND ARTICLES THEREOF.,39.44,1/1/2007
80,TIN AND ARTICLES THEREOF.,4.42,1/1/2007
81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,9.25,1/1/2007
82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",28.73,1/1/2007
83,MISCELLANEOUS ARTICLES OF BASE METAL.,14.85,1/1/2007
84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.","1,581.64",1/1/2007
