Date,HSCode,Commodity_x,Import_Value,Commodity_y,Export_Value
2007-01-01,32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",43.21,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",79.2
2007-01-01,33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",16.03,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",42.24
2007-01-01,34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",15.79,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",10.51
2007-01-01,35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,7.61,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,14.02
2007-01-01,36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,2.91,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,4.3
2007-01-01,37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,16.98,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,2.28
2007-01-01,38,MISCELLANEOUS CHEMICAL PRODUCTS.,109.4,MISCELLANEOUS CHEMICAL PRODUCTS.,105.08
2007-01-01,39,PLASTIC AND ARTICLES THEREOF.,236.48,PLASTIC AND ARTICLES THEREOF.,221.82
2007-01-01,40,RUBBER AND ARTICLES THEREOF.,97.57,RUBBER AND ARTICLES THEREOF.,88.97
2007-01-01,41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,31.46,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,56.06
2007-01-01,42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",3.46,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",90.33
